🇨🇳央蓝｜卫蓝,#genre#
CCTV-1    2K,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225804/ind
CCTV-1    2K,http://a.xttv.top/xttv/27f43e697655f4d44c62d7f4d32fcctv.m3u8
CCTV-1    2K,http://39.134.24.166/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225804/index.m3u8
http://stream3.hndt.com/now/Or5au0KN/playlist.m3u8
CCTV-2    2K,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226224/index.m3u8

CCTV-2    2K,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226195/index.m3u8?

CCTV-3    2K,http://111.20.40.172/PLTV/88888893/224/3221226397/index.m3u8
CCTV-3    2K,http://125.39.177.227/bkhlsliveali-cdn.ysp.cctv.cn/ysp/2000203803.m3u8

CCTV-4    2K,http://jycb.f3322.net:85/tsfile/live/1000_1.m3u8?key=txiptv&playlive=1&authid=0

CCTV-4    2K,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226191/index.m3u8?
CCTV-4    2K,http://39.134.24.161/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226191/index.m3u8?

CCTV-5    2K,http://39.134.24.161/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226395/index.m3u8?

CCTV-5    2K,http://39.134.24.166/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226395/index.m3u8
CCTV-5    2K,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226395/index.m3u8

CCTV-5+   2K,http://jycb.f3322.net:85/tsfile/live/1001_1.m3u8?key=txiptv&playlive=1&authid=0

CCTV-5+   2K,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225761/index.m3u8?
CCTV-5+   2K,http://39.134.24.166/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225761/index.m3u8

CCTV-6    2K,http://111.20.40.167/PLTV/88888893/224/3221226393/index.m3u8
CCTV-6    2K,http://111.20.40.166/PLTV/88888893/224/3221226393/index.m3u8

CCTV-7    2K,http://39.134.24.166/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226192/index.m3u8
CCTV-7    2K,http://113.62.253.22/live.aishang.ctlcdn.com/00000110240248_1/playlist.m3u8?CONTENTID=00000110240248_1&AUTHINFO=FABqh274XDn8fkurD5614t%2B1RvYajgx%2Ba3PxUJe1SMO4OjrtFitM6ZQbSJEFffaD35hOAhZdTXOrK0W8QvBRom%2BXaXZYzB%2FQfYjeYzGgKhP%2Fdo%2BXpr4quVxlkA%2BubKvbU1XwJFRgrbX%2BnTs60JauQUrav8kLj%2FPH8LxkDFpzvkq75UfeY%2FVNDZygRZLw4j%2BXtwhj%2FIuXf1hJAU0X%2BheT7g%3D%3D&USERTOKEN=eHKuwve%2F35NVIR5qsO5XsuB0O2BhR0KR

CCTV-8    2K,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226012/index.m3u8?

CCTV-8    2K,http://39.134.24.166/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226391/index.m3u8
CCTV-8    2K,http://111.20.40.172/PLTV/88888893/224/3221226391/index.m3u8

CCTV-9    2K,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226197/index.m3u8?

CCTV-9    2K,http://39.134.24.166/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226197/index.m3u8
CCTV-9    2K,http://1.195.111.251:11190/tsfile/live/0009_1.m3u8

CCTV-10   2K,http://222.71.90.218:8888/newlive/live/hls/11/live.m3u8

CCTV-10   2K,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226189/index.m3u8?

CCTV-11   2K,http://39.134.115.163:8080/PLTV-/88888910/224/3221225628/index.m3u8
CCTV-11   2K,,http://125.39.177.227/bkhlsliveali-cdn.ysp.cctv.cn/ysp/2000204103.m3u8

CCTV-12   2K,http://113.62.253.22/live.aishang.ctlcdn.com/00000110240252_1/playlist.m3u8?CONTENTID=00000110240252_1&AUTHINFO=FABqh274XDn8fkurD5614t%2B1RvYajgx%2Ba3PxUJe1SMO4OjrtFitM6ZQbSJEFffaD35hOAhZdTXOrK0W8QvBRom%2BXaXZYzB%2FQfYjeYzGgKhP%2Fdo%2BXpr4quVxlkA%2BubKvbU1XwJFRgrbX%2BnTs60JauQUrav8kLj%2FPH8LxkDFpzvkq75UfeY%2FVNDZygRZLw4j%2BXtwhj%2FIuXf1hJAU0X%2BheT7g%3D%3D&USERTOKEN=eHKuwve%2F35NVIR5qsO5XsuB0O2BhR0KR

CCTV-12   2K,http://117.169.124.149:8080/live/HD-8000k-1080P-cctv12/index.m3u8

CCTV-13   2K,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226233/index.m3u8?

CCTV-13   2K,https://live-play.cctvnews.cctv.com/cctv/merge_cctv13.m3u8
CCTV-13   2K,http://39.134.24.166/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226233/index.m3u8
CCTV-13   2K,http://223.95.111.98:5555/newlive/live/hls/13/live.m3u8
CCTV-13   2K,http://cctvwbndali.v.myalicdn.com/cctvwbnd/cctv13_2/index.m3u8

CCTV-14   2K,http://39.134.24.166/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226193/index.m3u8?

CCTV-15   2K,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225785/index.m3u8?


CCTV-16   2K,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226921/index.m3u8?

CCTV-16   2K,http://39.134.24.166/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226921/index.m3u8
CCTV-16   2K,http://111.20.40.160/PLTV/88888893/224/3221226921/index.m3u8

CCTV-17   2K,http://59.51.68.40:1936/live/cctv7/playlist.m3u8



浙江卫视,http://hw-m-l.cztv.com/channels/lantian/channel001/1080p.m3u8
浙江卫视,http://221.2.36.34:8888/newlive/live/hls/24/live.m3u8
浙江卫视,http://hw-m-l.cztv.com/channels/lantian/channel01/1080p.m3u8
江苏卫视,http://39.134.24.166/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226200/index.m3u8?
江苏卫视,http://221.2.36.34:8888/newlive/live/hls/22/live.m3u8
广东卫视,http://221.2.36.34:8888/newlive/live/hls/21/live.m3u8
广西卫视,http://222.71.90.218:8888/newlive/live/hls/40/live.m3u8
深圳卫视,http://39.134.24.166/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226205/index.m3u8?
安徽卫视,https://www.whalenas.com/bestv/index.php?id=ahwshd8m/8000000
安徽卫视,http://221.2.36.34:8888/newlive/live/hls/25/live.m3u8
北京卫视,http://221.2.36.34:8888/newlive/live/hls/19/live.m3u8
北京卫视,http://222.71.90.218:8888/newlive/live/hls/18/live.m3u8
天津卫视,http://221.2.36.34:8888/newlive/live/hls/42/live.m3u8
天津卫视,http://222.71.90.218:8888/newlive/live/hls/32/live.m3u8
东方卫视,http://221.2.36.34:8888/newlive/live/hls/20/live.m3u8
东方卫视,http://222.71.90.218:8888/newlive/live/hls/19/live.m3u8
山东卫视,http://221.2.36.34:8888/newlive/live/hls/30/live.m3u8
山东卫视,http://222.71.90.218:8888/newlive/live/hls/26/live.m3u8
湖北卫视,http://221.2.36.34:8888/newlive/live/hls/34/live.m3u8
湖南卫视,https://node1.olelive.com:6443/live/HNHD/hls.m3u8
湖南卫视,http://222.71.90.218:8888/newlive/live/hls/22/live.m3u8
湖北卫视,http://222.71.90.218:8888/newlive/live/hls/27/live.m3u8
四川卫视,http://39.184.224.99:9080/newlive/live/hls/33/live.m3u8
四川卫视,http://[2409:8087:5c0b:10:2::77]:6610/000000001000/1000000002000016825/1.m3u8?channel-id=ystenlive&Contentid=1000000002000016825&livemode=1&stbId=0
重庆卫视,https://sjlivecdn9.cbg.cn/204912315959/app_2/_definst_/ls_2.stream/chunklist.m3u8
重庆卫视,http://221.2.36.34:8888/newlive/live/hls/31/live.m3u8
重庆卫视,http://222.71.90.218:8888/newlive/live/hls/34/live.m3u8
江西卫视,http://221.2.36.34:8888/newlive/live/hls/48/live.m3u8
青海卫视,http://221.2.36.34:8888/newlive/live/hls/39/live.m3u8
吉林卫视,http://stream4.jlntv.cn:80/jlwshd/playlist.m3u8
辽宁卫视,http://39.135.138.58:18890/PLTV/88888888/224/3221225735/1653146603-1-1648950958.m3u8
辽宁卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225696/index.m3u8
辽宁卫视 http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226201/index.m3u8?blog.ntnas.top


港澳｜新增,#genre#
TVB翡翠台,http://45.137.97.251:2566/apiW999.php?id=2&token=297236feba4f059e0c60bb92972fe1e5
TVB明珠台,http://45.137.97.251:2566/apiW999.php?id=3&token=297236feba4f059e0c60bb92972fe1e5
TVB J2,http://45.137.97.251:2566/apiW999.php?id=5&token=297236feba4f059e0c60bb92972fe1e5
TVB星河台,http://45.137.97.251:2566/apiW999.php?id=4&token=297236feba4f059e0c60bb92972fe1e5
TVB粤语片,http://45.137.97.251:2566/apiW999.php?id=6&token=297236feba4f059e0c60bb92972fe1e5
TVB经典剧,http://45.137.97.251:2566/apiW999.php?id=7&token=297236feba4f059e0c60bb92972fe1e5
TVB亚洲剧,http://45.137.97.251:2566/apiW999.php?id=8&token=297236feba4f059e0c60bb92972fe1e5
TVB华剧台,http://45.137.97.251:2566/apiW999.php?id=24&token=297236feba4f059e0c60bb92972fe1e5
港版美亚电影,http://45.137.97.251:2566/apiW999.php?id=9&token=297236feba4f059e0c60bb92972fe1e5
TVB娱乐新闻,http://45.137.97.251:2566/apiW999.php?id=10&token=297236feba4f059e0c60bb92972fe1e5
TVB黄金翡翠,http://45.137.97.251:2566/apiW999.php?id=11&token=297236feba4f059e0c60bb92972fe1e5
TVB千禧经典,http://45.137.97.251:2566/apiW999.php?id=198&token=297236feba4f059e0c60bb92972fe1e5
TVB功夫台,http://45.137.97.251:2566/apiW999.php?id=12&token=297236feba4f059e0c60bb92972fe1e5
无线新闻台,http://45.137.97.251:2566/apiW999.php?id=13&token=297236feba4f059e0c60bb92972fe1e5
无线财经台,http://45.137.97.251:2566/apiW999.php?id=14&token=297236feba4f059e0c60bb92972fe1e5
港台RHK31,http://45.137.97.251:2566/apiW999.php?id=29&token=297236feba4f059e0c60bb92972fe1e5
港台RHK32,http://45.137.97.251:2566/apiW999.php?id=30&token=297236feba4f059e0c60bb92972fe1e5
HOY TV,http://45.137.97.251:2566/apiW999.php?id=1&token=297236feba4f059e0c60bb92972fe1e5
HOY资讯台,http://45.137.97.251:2566/apiW999.php?id=15&token=297236feba4f059e0c60bb92972fe1e5
国际财经台,http://45.137.97.251:2566/apiW999.php?id=16&token=297236feba4f059e0c60bb92972fe1e5
澳门莲花台,http://45.137.97.251:2566/apiW999.php?id=17&token=297236feba4f059e0c60bb92972fe1e5
18 跑马台,http://45.137.97.251:2566/apiW999.php?id=18&token=297236feba4f059e0c60bb92972fe1e5
ViU TV,http://45.137.97.251:2566/apiW999.php?id=193&token=297236feba4f059e0c60bb92972fe1e5
VIU TV,http://45.137.97.251:2566/apiW999.php?id=19&token=297236feba4f059e0c60bb92972fe1e5
VIU6TV,http://45.137.97.251:2566/apiW999.php?id=20&token=297236feba4f059e0c60bb92972fe1e5
Now新闻台,http://45.137.97.251:2566/apiW999.php?id=21&token=297236feba4f059e0c60bb92972fe1e5
Now财经台,http://45.137.97.251:2566/apiW999.php?id=23&token=297236feba4f059e0c60bb92972fe1e5
Now英超台,http://45.137.97.251:2566/apiW999.php?id=22&token=297236feba4f059e0c60bb92972fe1e5
NowSPORTS7,http://45.137.97.251:2566/apiW999.php?id=197&token=297236feba4f059e0c60bb92972fe1e5
Now星影台,http://45.137.97.251:2566/apiW999.php?id=186&token=297236feba4f059e0c60bb92972fe1e5
Now爆谷台,http://45.137.97.251:2566/apiW999.php?id=187&token=297236feba4f059e0c60bb92972fe1e5
Hands UP,http://45.137.97.251:2566/apiW999.php?id=25&token=297236feba4f059e0c60bb92972fe1e5
